artist_id, avg_popularity
1oQtv24bE7G118mmZLonDV, 13.0
6CSznHaZzmnIV05TMj9gri, 8.0
3gN8LXYmcorHUtZrxkAeZt, 2.0
5ihicHwE78DFCeXpzDbbWQ, 21.0
3egjCin5v4q2x4YiXRqMNP, 12.0
2DcrZVjp98sHG7ttcywb7s, 45.0
5YV5crRpcdknHgEzystZHr, 9.0
1hM06YHQ635cZwwUbn7dpk, 66.0
0kbBijEWCi7FWrBpnpOcHd, 66.0
0nVylSfYAbjeETmI5FbRyM, 32.0
2UJLlfZSc3wzkT5PVG8zRN, 32.0
7BUmFe61H2cYyKVgkwttxj, 29.0
2RGQnFO3apO0KYTG8TVevb, 19.0
04wofcoq7Nxy8uzZIUIfUX, 32.0
4TsxiXBrsmsrPmrZdSyJRp, 27.0
5pALJdF7dliaPdFzkw9OIy, 28.333333333333332
6TlzdBQJ60fuenBUtDARlg, 29.0
4hhmN9QgEWfcZyUClXGXdm, 29.0
47p2js8l70JjDWGS0a1hqr, 29.5
4TvAbp9oKmAALxGmLmXA8L, 4.0
4Ot93EpLiXRjPpjPmCLt0W, 4.0
71wtIwYtNBs1rAYuldmIyo, 34.0
7M8hHpUADp0uw5a2RTZ6x3, 26.0
1rnDCA1L6frTG0LeaTvUnu, 31.0
4hLEG72zth9TZSsfvPCy0D, 42.0
3nbHVJliSJ1Qn81Lec3HQy, 49.0
3rcJgw8p792z86V1qhuKeW, 19.0
3SEztK9fNxg81qZ8qETGNT, 58.0
682qzOnGxexrwH41Cy51Hu, 60.0
4Tb39IQKWk7lpnJbIJlzyZ, 15.0
48pjGd7liO0gWMMAif0U9r, 19.0
6cjVoEsNpH6spV5gBn1PFs, 30.0
647pAP1QqIu4XzEYuuR26c, 29.0
4HDFbU9ag2dEgwuxUbGbWf, 28.0
0ZjdMZB4ZGx8aM53fGzoFY, 12.0
7uQ1D2NNHs5cUL3CLKRbia, 53.0
0sXJRmgbjbq6Q5uu4W1wDM, 52.0
73Y3klmdfogffSrBZw9vNG, 22.5
6WKvXvkXVojnonsPLmzSUP, 26.0
4GVtqDwytEiZrw8WekFqyQ, 26.0
5PQ0N1QKkVLDEXsyoTl05c, 17.0
6lNX9nAQL8J8dlx9ozIJvO, 8.0
78u8ME5HXqWS1VDZb0sraF, 3.0
1MhHaf8SWPHd2DOldKOI09, 2.0
2gfk6NEcASAS4gD036dyOo, 6.0
0i9mzh433YxHdR2RXIAMeF, 7.0
0tsoaKJZCEs5UWQTCWWGSL, 1.0
2Qs3BR2JTMGIwW4PfUgjTN, 1.0
0HeYa1Xtc9SKOD6SsF43lS, 2.0
0HglaZ86XPMulwbb04UQiQ, 12.0
6hSJweCMCmmWSA5rnN5D6g, 23.0
6F9tIHrnvK02UdnPyfpmTG, 18.0
3OmswGwkiWoYLjgk90LbR1, 13.0
2CYscWQZlULVmxD6Ha2Jno, 14.0
7vFAdz20PKx9iyB63dKHwc, 18.5
2KuPNZuwsvJTX9yTDqNeNk, 15.5
2vIbao2M0Jv3Nu2fPEzEnY, 21.0
6JboUw8iZP7Ts7fDcVowP4, 13.0
73Twda8tdzZpiHhPWfuWE6, 35.0
5sU36WMBBdC9ahevfOIRuT, 5.5
0S7LZUedwOY8HcH6UZNvYj, 5.5
5sGJtjxScxN8x7GEeK09Ug, 1.0
0v6feullpGtOaCIhZ4vynh, 18.0
0t3vIkZ0lGE9vg88edFFci, 16.0
4OR8fzE2Z8HTbrcMiCQD2M, 14.0
26g3zPxVe6EKPPEmtmKsWV, 14.0
53kRF2DbU7dNLQYklttuPA, 46.0
75Htm8Ro1hTU0sPemNONp1, 35.0
277eZMol17uZwNPOJoQfwx, 33.0
7zQkslwzWYjf2D8mDnr3Yk, 33.0
7Gi708Ix6cns0SGJiZ4tvo, 25.333333333333332
7g4y59m2GfdAccjzrBkyFS, 33.0
6UXw7r2B6sZiwYAIelxiBP, 17.0
0O3MgBu4PvcbR0BpxiUhHb, 17.0
3Ohh5pjM5A8B3D7zY5fDVN, 20.0
0wsiREDuFaC93I5BPI7gsd, 20.0
6KcruMVjpG8GR8LIxFfxKu, 20.0
5G3p1Ju6ZzScqAropTMkJG, 34.0
35EqXzVgqCrz0oIJ0Tyo0u, 40.0
6udQ4t2tEStb4gxN3gNY8X, 22.0
3CChhOWvwwUSCntaZJ3cs8, 28.0
6j6YUS7ZfbpHmphffIBqWY, 22.0
2Sx37QWa4qXUVVDI67pTvX, 42.0
7H2vhIrsFEQnkB7TDBuLXa, 37.0
6oWZxZmd7nDeTvzWu1S8XJ, 33.0
2QJxA7vOIiCPcrwgCO3ejP, 42.0
1scDR0a9XGml6sL6scMvRu, 3.0
1zyQRSThDIGUsXlZ0ztHXr, 3.0
21e6e5BVIevvejc3bdQFH2, 3.0
18MU1GKIH161Cap6kMfs3k, 3.0
3aZZV1y5JPvdbsdQwM15Or, 1.0
5HzZyK3C6XJrlC5PrmazmF, 1.0
2vimIXbAwLcQztHM2l7cJR, 4.0
10s3cGWtxskBzG6Wr2TirQ, 4.0
55W6lNHDIs7ecuKPH4wadD, 4.0
1TsLF0WRl6CrMkJgCbrP1h, 4.0
3DG4p9RLDsZKEw3keK3f5D, 13.2
0aE2xRBgaz8oqJmlmPGnjD, 13.2
7iIRbod1X8weJssm8eo1ES, 13.2
6pSD5LFyvdgQS7wQhTERLm, 13.2
6dzit1OFkCCBfGxZAAGUI9, 13.2
0aAPCfUkO3dTN1kWwjzWXm, 10.0
3Qg2yXNaWI28LC2J5NFURR, 3.0
1WPAAahwZCAQcxVr7MeoJt, 3.0
45PpF2Wk4lcp5vaFbxY8tr, 3.0
5LQmQAVVcGyoSX8c32uqkP, 2.0
0GZ58PHQjfedBEXroYZcbH, 2.0
21ywUYsjHDoTfxcZk2jPPJ, 2.0
7MNpjAtQaEd08JSY4YIP6t, 2.0
43WgxfUithMWMHCZ0TuIwe, 4.0
7xyKR9dhg6epeMKUH8k9su, 20.0
2U330KwLQnAjxEPQgHkD9i, 4.0
5Azjc4bCAKpM7vgNeRtHf7, 4.0
5jx57q3NWOoRMJjjH5bwHv, 4.0
0CByPEEfkXDg8wCNwuBsBs, 4.0
78kQeJhIPzlM9F3U1JFFmM, 4.0
1tBwW3qzTsWO5T3yT10JD9, 4.0
1ql3TKvcZfzjupSPxGaNCd, 4.0
7nFYKe5BJ2TNt2nOUwh03W, 4.0
1hUr0gMlgq230phTIsFLZp, 4.0
7uHhF4N5AmdV2fAP7OotUq, 4.0
5GZFW3Jym047ikhkgHEOGm, 1.0
1bubsMv798TK034RXZAZyn, 1.0
1hZzISyekM5EjV2qwK2LwD, 1.0
2uVmgMC7b2ErSb1o3PKNDz, 1.0
30huLLPtKc6VzgVLRLLUYM, 1.0
6QOg8PvavcCw4jCkph9RFK, 1.0
