popularity,id,1_n,2_n
52,2GVksDv9UpY60i4CvytrZK,47.00000,52.00000
48,5CNgBVZXUEEGqyzgjUAgDj,29.87879,33.46909
16,3o8J3FlLvoCBLdwQ2kdfsS,21.00000,20.40000
52,6dHnnLJitCxdFTt9QmSQ8G,53.00000,50.01266
36,35BsDVEPHGqz4fPhlRJHB1,32.00000,36.00000
35,5UezsklPScipW64XJm7qql,19.40000,17.53750
49,3e6shNAdjKsxqMeIKJaP8Z,47.75000,44.77778
21,6Pxti5FRCx8cg6ijXKAopt,20.50000,18.62500
49,4dSDQR6kZAlQbDG44CYDdL,6.00000,48.00000
41,47dC2tIVeFjNtRXcCE53O8,40.00000,41.00000
22,2utfFT6Mtlseww2PBlYwfF,26.40000,26.07080
23,2iL5YJ5pmQmu9mf3vR2xUX,32.50000,33.40000
59,4hpKB93agzoncsTXEstSpK,62.66667,45.87500
21,7faNPQVIQE827gQ2tsenFT,13.83333,15.80645
30,76V6Eswamdb53xumyIwxuI,32.42857,30.50694
61,2ueoLVCXQ948OfhVvAy3Nn,43.00000,52.50000
42,7BdQWt4FjHEvmTH6jmaJd1,9.00000,42.00000
51,0re1rxUsmmsr5u6qbXvl8z,56.00000,50.41667
45,1MfMEINKi23iSLoLcLVGRy,43.50000,52.25000
20,5XFQxZKcNaRSmSN39upplo,11.20000,11.57143
49,58BWh3yJrluDugLv0QF0eC,37.00000,49.00000
52,2ZMnWI3oIHyj7MyuZ99gvu,25.22222,32.88462
49,6FK6uP46ntwU9gaQQxTlDV,43.80000,45.53846
49,1lqh5puCZTMsGJalV8Rjbe,42.00000,29.77778
7,7aoHAC7aGNfSiDCIHxRO84,9.00000,7.00000
45,6pyqBc7HaffcZJhyfjnceP,31.66667,25.97561
21,7nnIPmXBiFdrHlUHn6S8Mi,29.00000,14.52941
70,6gEzJZrbm0F4ihvE9iXR9z,46.21429,47.42857
23,5SjihfTc47jqUtadaagvwi,18.55556,22.96610
49,0sgV4klGs1Y1dgbBi28JlD,61.75000,47.96774
19,1oWxrZS6SYLs5RSTp49o1J,16.00000,17.00000
15,6kRLOur8sFmCXbitqyKNQ2,30.50000,22.75000
48,78jcF59aMpz63E2TYmntws,34.20000,32.12500
19,00fBsOp7V4JazirGlifCdb,42.33333,40.42857
31,5Qkex9yQ5V5FiC4qzMLndD,29.00000,31.00000
33,6gagJpyu3rL8DaAgDRZB2X,12.66667,23.20000
56,6Qc96byIWUrGk7BHxfvK4F,49.00000,44.52941
36,0OVgSCgWfc1ELQdiQbWlru,55.00000,32.80000
17,2UmGAHgRKMatCYCYdPsgo0,33.50000,25.25000
31,2jzwmI7lich4LB2bV7QyP4,31.33333,31.22222
22,5ZEdu90EK5q6kuwQH8Uthj,23.00000,22.00000
5,1UmXg8UZeds1N28kVOgYlH,5.00000,5.00000
23,3y9kcDjhzxntejQPIvnzJN,24.00000,23.00000
20,6vjVIzsnrl1io0KFGKInir,49.50000,32.93243
31,2mdDdKL0UzOqSqppraF43n,21.00000,31.00000
26,3Q60P5d7R7V0CjAmfuJgtV,9.33333,14.80000
25,0bkbqZQcQ6YuF9n5VqP2RS,29.25000,25.00000
14,6N2mIckxqo6yH85gElxjZY,26.00000,17.20000
25,7dhZwVDKTpsW41hHlUuGoT,30.71429,25.87552
68,4Nrd0CtP8txoQhnnlRA6V6,59.00000,57.50000
19,3wMgvdVNslqdsSKX0kcQ6i,23.00000,19.00000
13,2K9eZQyYPIsxz9KhpoSab0,19.00000,36.50000
23,1eNuE1hqEHLzAnBjWNvvTl,14.50000,28.37500
1,1wzzOP2E8w3FaD6xaZ7wzX,3.00000,1.00000
25,6jXxv3BX8TRYfqVmDIhoQN,63.00000,20.90909
7,5eQOUjwqsLdLmqeiIz658f,35.75000,24.96429
30,6tfEPZxZFYrZYmDVFdf8xl,42.00000,29.63636
29,2CYpYNuLTZkBW4tgkRbbSB,21.00000,38.28571
18,27SpiUG1WxHnPkqNxY6Llp,19.00000,18.00000
19,4YHKzvqxptwrqZT9GyYHIg,37.73333,36.22981
25,3IVY33qtUPVAdoprVjn69d,14.15385,21.53472
12,7ejHKHw1TwhzW50cd14z9A,15.00000,28.08333
2,6uHovCEQLTQULBBfBmYUQ0,10.60000,15.90323
7,4XIOw8PkA4fNjIFu5qzsD8,31.33333,28.92982
65,0lFLP59V4TY3XgnrkFIwxK,57.66667,55.92857
60,0o0PoOOyXcmqcyVz8aSdYu,57.28571,56.80851
16,3R4iMawjK5JQwo0ZqOj84L,14.00000,16.00000
1,0UlW36Mff47pJR2CelclcR,4.00000,1.00000
9,69wC2traqmLoeXtWiivVtO,14.00000,16.40000
27,4PkhCFbcHgGFYHEspjPkq3,4.00000,27.00000
19,3ky8U0naf7LBnhlA1VC5IW,35.40000,30.63830
34,3ex5lvW6vBEAbO0czNTIC2,45.00000,38.75000
27,5EG8kX3NJR8Az7XKu4Czu7,2.00000,27.00000
1,0GSo9sgn0qc0OOPopBphdn,2.75000,4.92857
2,5Orjz733tJfy7UUwswvolu,54.00000,31.79070
